Grand Island Loop
Distance (km), Elevation (m), Angle (deg), Time (min), Cloud Cover (%), Wind Dir (deg), Wind Speed (km/h) 
0.028291877765630993,571.643889599941,-6.185451054462533,0.000808339364732314,0,26.0,8.0
0.04710889806081771,569.604541439971,4.370267189558535,0.001345968516023363,0,26.0,8.0
0.07192130046139572,571.500799999982,4.4199476632239705,0.0020548942988970207,0,26.0,8.0
0.08100685277140364,572.203077120016,2.2418572781228012,0.0023144815077543895,0,26.0,8.0
0.09194088216540561,572.631120000003,0.9160888291266303,0.002626882347583017,0,26.0,8.0
0.12251474450341815,573.119999999999,1.1104405453372204,0.003500421271526233,0,26.0,8.0
0.15330352167568195,573.716787200004,-2.9773363718058072,0.004380100619305199,0,26.0,8.0
0.1727658053466855,572.704531519953,-5.604594997681294,0.004936165867048157,0,26.0,8.0
0.18122450694434553,571.874463680008,-0.36493535998174714,0.00517784305555273,0,26.0,8.0
0.21442489587617553,571.662996800009,12.95388938010243,0.006126425596462158,0,26.0,8.0
0.21665166617979761,572.175200000051,0.19810973772163748,0.006190047605137075,0,26.0,8.0
0.24580415319270774,572.276,5.089900045337528,0.007022975805505935,0,26.0,8.0
0.25869183890741837,573.423905440022,2.0663918128831242,0.00739119539735481,0,26.0,8.0
0.2689002340596758,573.792234400004,0.49442039791977704,0.007682863830276451,0,25.0,8.0
0.2886981777370423,573.963080319997,-13.441283006671211,0.008248519363915494,0,25.0,8.0
0.2904792816413857,573.537405119984,-0.17429037491864008,0.008299408046896734,0,24.0,8.0
0.3087531897823133,573.481816800004,-1.2915980450256408,0.008821519708066095,0,22.0,8.0
0.3359717411882223,572.868134880006,-1.3133336136087723,0.00959919260537778,6,17.0,8.0
0.3747109215600036,571.979999999996,-1.8203980274137828,0.010706026330285816,0,8.0,9.0
0.3995672626170573,571.189999999991,0.11773556795056944,0.011416207503344494,5,350.0,9.0
0.42179450920107886,571.235674239981,-3.4468132968326985,0.012051271691459396,0,26.0,8.0
0.44209564188575545,570.012918400008,-4.100433908306869,0.012631304053878727,0,26.0,8.0
0.4677093756708521,568.176708160061,1.2541542992616443,0.013363125019167203,0,26.0,8.0
0.48761387456602406,568.612469759983,5.378498918848417,0.013931824987600688,0,26.0,8.0
0.514082602201627,571.10447999997,2.0900647018990206,0.014688074348617916,0,26.0,8.0
0.6199532397072395,574.968197120053,-1.4856385402856078,0.01771294970592113,0,26.0,8.0
0.695025145230561,573.021199999992,-4.625583757487211,0.019857861292301743,0,26.0,8.0
0.7249408327378021,570.600795999998,-1.9587174080552865,0.02071259522108006,0,26.0,8.0
0.7430813893026497,569.980399999975,0.016278502935887156,0.02123089683721856,0,26.0,8.0
0.7691239410269817,569.987799040004,5.693976892495271,0.02197496974362805,0,26.0,8.0
0.7925866729172264,572.327200000011,0.01576930064246955,0.022645333511920756,0,26.0,8.0
1.1119143835599405,572.415087359997,-2.7522552919877,0.03176898238742687,0,26.0,8.0
1.1695040520724815,569.64658512003,2.8496627179950256,0.033414401487785184,0,26.0,8.0
1.227511005278181,572.533999999996,1.151609556606017,0.03507174300794803,0,25.0,8.0
1.289914019092261,573.78843071999,-0.12501333358019717,0.03685468625977889,0,25.0,8.0
1.3583089383939995,573.639199999981,-0.2829946276131691,0.03880882681125713,0,24.0,8.0
1.4709957589701899,573.082614079997,-9.211841271827716,0.042028450256291136,0,22.0,8.0
1.4796656258232936,571.676563199981,-0.20210962191183407,0.04227616073780839,6,17.0,8.0
1.6807296232046014,570.96731136002,0.050668811664142624,0.04802084637727433,0,8.0,9.0
1.7176935968823932,571.0,0.0,0.04907695991092552,5,350.0,9.0
1.9751877831688869,571.0,-0.031615570018905484,0.0564339366619682,0,26.0,8.0
2.197733857954689,570.877200000005,0.0008913269415307284,0.06279239594156254,0,26.0,8.0
2.3251036751204905,570.879181440009,-0.7783024325924923,0.06643153357487115,0,26.0,8.0
2.561100954223948,567.673211359979,0.5705210309554901,0.07317431297782709,0,26.0,8.0
2.8661069571790807,570.710400000032,-0.2718824488819568,0.08188877020511659,0,26.0,8.0
3.019944048474952,569.980399999989,-0.1514873009116692,0.08628411567071291,0,26.0,8.0
3.159885739254037,569.610399999999,-3.0988721292209642,0.09028244969297249,0,26.0,8.0
3.197892739659246,567.552764799984,-0.788927234544678,0.09136836399026417,0,26.0,8.0
3.2374871577923505,567.007539839997,0.20179082247461233,0.09249963307978144,0,26.0,8.0
3.3078629584000394,567.255398399991,-0.5140625376877926,0.09451037024000113,0,25.0,8.0
3.367802653423144,566.717599999977,0.12383758704282834,0.09622293295494698,0,25.0,8.0
3.5314020627215115,567.071200000002,2.085325123399461,0.10089720179204319,0,25.0,8.0
3.584198035000397,568.993599999988,-0.4222800592833309,0.10240565814286849,0,26.0,8.0
3.7325846773068077,567.899944320044,0.003312473612924232,0.10664527649448022,1,22.0,8.0
3.775060516727935,567.902400000002,0.06401986663028492,0.10785887190651243,3,17.0,9.0
3.9468685254258347,568.094371039994,-1.8376812833509872,0.11276767215502385,1,5.0,9.0
3.9854535313003874,566.856386880016,4.81843596176107,0.11387010089429678,1,28.0,8.0
3.996239439185825,567.765599999977,0.11903344344905609,0.11417826969102357,1,28.0,8.0
4.041718863485383,567.860084799992,0.06053218442419575,0.11547768181386808,1,28.0,8.0
4.174153328619113,568.0,2.243527900158102,0.1192615236748318,1,28.0,8.0
4.193501428504405,568.757999999976,-0.0011902398116755727,0.11981432652869728,1,28.0,8.0
4.366798274803639,568.754399999985,0.5546678371198028,0.12476566499438968,1,28.0,8.0
4.406050083909466,569.134399999995,-0.5714279822003536,0.12588714525455616,1,28.0,8.0
4.439421378641482,568.801567040001,-0.7907661092352186,0.12684061081832806,1,28.0,8.0
4.5121622975815505,567.797571519996,-12.354036674651814,0.1289189227880443,1,28.0,8.0
4.523468721129399,565.321199999978,-0.7223693674676381,0.12924196346083996,1,28.0,8.0
4.540600168264482,565.105200000011,-0.03187819785197894,0.12973143337898518,1,28.0,8.0
4.579422585872696,565.083600000014,9.474159935454603,0.13084064531064846,1,28.0,8.0
4.591897930437047,567.165473279988,0.34926686292850057,0.13119708372677277,1,27.0,8.0
4.673074580870789,567.660320639983,0.49877563221732624,0.13351641659630828,1,27.0,8.0
4.707881131589729,567.963328960001,-0.11709142881046325,0.13451088947399226,1,27.0,8.0
4.740129413963843,567.897425280032,1.3733964661706068,0.1354322689703955,0,25.0,8.0
4.773655114409575,568.70120000002,1.1644612616136294,0.13639014612598785,2,20.0,9.0
4.8559414648805275,570.373791999997,1.0046953750719498,0.1387411847108722,3,12.0,9.0
4.885741705221684,570.896399999976,0.0,0.13959262014919097,4,356.0,10.0
5.202315012413383,570.896399999976,-4.96197267740465,0.1486375717832395,1,23.0,8.0
5.249246804037089,566.821785599998,0.8202214560668691,0.1499784801153454,1,23.0,8.0
5.33854112037169,568.100171519999,0.1407501257723286,0.15252974629633398,1,23.0,8.0
5.485676612951522,568.461618400034,0.36132486542225195,0.15673361751290063,1,23.0,8.0
5.59121537137768,569.127187200006,-0.6978503745785034,0.15974901061079086,1,23.0,8.0
5.662542091512657,568.258399999992,0.9142509193438804,0.16178691690036162,1,23.0,8.0
5.795089671483993,570.373600000008,-1.3293547455483246,0.16557399061382835,1,23.0,8.0
5.94943052040012,566.791999999998,1.4922349497504708,0.16998372915428914,1,23.0,8.0
5.981910326342175,567.638108800003,0.1629638731290679,0.1709117236097764,1,23.0,8.0
6.109145780992808,568.0,0.5853963218737004,0.17454702231408023,1,23.0,8.0
6.21923197025762,569.124799999975,-0.16840764092487406,0.17769234200736056,1,23.0,8.0
6.418328599295363,568.539600000003,3.3126305126541693,0.18338081712272467,1,22.0,8.0
6.495390400331966,573.0,-0.658887940204042,0.1855825828666276,1,21.0,8.0
6.582344873634073,572.0,-0.13906164799853074,0.18806699638954494,0,19.0,8.0
6.614591841004949,571.921733759991,0.029607753540178566,0.18898833831442713,3,15.0,9.0
6.766049628088856,572.0,5.010903427926391,0.19331570365968162,0,6.0,9.0
6.780616163479596,573.277200000004,-0.13566915167310967,0.19373189038513133,3,349.0,10.0
6.8156425653731985,573.194261760003,-0.21230773930861002,0.19473264472494853,0,28.0,8.0
7.017382577986982,572.446716959995,0.3472673342935921,0.20049664508534235,0,28.0,8.0
7.2474560877758565,573.841200000003,-10.673557111470707,0.20707017393645305,0,28.0,8.0
7.263695992653767,570.780400000004,-0.004828142417781796,0.20753417121867906,0,28.0,8.0
7.477302787957989,570.762399999998,0.11115049106070958,0.21363722251308542,0,28.0,8.0
7.675452789870321,571.146800000002,-0.9323546374309903,0.21929865113915203,0,28.0,8.0
7.762413080193127,569.731600000007,0.6864207518524656,0.22178323086266077,0,28.0,8.0
7.83335948213665,570.581599999991,-0.7820755621669426,0.22381027091819,0,28.0,8.0
7.882399979411201,569.912165760007,1.8715461868656058,0.22521142798317717,0,28.0,8.0
7.956344605629378,572.328400000044,0.18004510360113324,0.2273241315894108,0,28.0,8.0
8.045194169777789,572.60759999998,-0.3599838141405659,0.22986269056507969,0,28.0,8.0
8.301059793536304,571.0,4.0023304839125124,0.2371731369581801,0,28.0,8.0
8.333112201470717,573.242632799998,-0.06201685342433593,0.2380889200420205,0,28.0,8.0
8.789591682585659,572.748540000009,0.14735695223919246,0.2511311909310188,0,26.0,8.0
9.243657802999248,573.916338880011,-0.9808991759698661,0.2641045086571214,0,24.0,9.0
9.358796229559816,571.94498559999,-2.2836934579838184,0.2673941779874233,4,19.0,8.0
9.385961162182506,570.861672800008,0.7012122683696093,0.26817031891950016,1,7.0,9.0
9.44926065741222,571.636399999994,0.7098721739519956,0.2699788759260634,0,23.0,8.0
9.502438458927609,572.29528575999,1.1986352024816307,0.27149824168364595,0,23.0,8.0
9.651092428136483,575.405599999993,-1.6541616433628392,0.2757454979467567,0,23.0,8.0
9.81014043149242,570.812517759997,0.3047354328900869,0.28028972661406915,0,23.0,8.0
9.916359613203769,571.377464319991,1.4784802186517563,0.2833245603772505,0,23.0,8.0
9.984973125010724,573.148384320016,-0.11171600527890758,0.2852849464288778,0,23.0,8.0
10.059163235568718,573.003727360001,-0.0691375119813332,0.287404663873392,0,23.0,8.0
10.209764629793504,572.82199999998,0.4314944204552039,0.291707560851243,0,23.0,8.0
10.236124408130529,573.020519199985,-0.6781894375090266,0.29246069737515795,0,23.0,8.0
10.26103903428259,572.725600000006,0.4226828550113841,0.2931725438366454,0,23.0,8.0
10.366930840489212,573.506800000029,0.055238972849277486,0.2961980240139775,0,23.0,8.0
10.479367047259661,573.615199999997,0.6613589201039283,0.29941048706456175,0,23.0,8.0
10.603683687140894,575.050237120045,-3.65800039387473,0.3029623910611684,0,22.0,8.0
10.63626912442379,572.967016320007,-2.8501950018932676,0.30389340355496547,0,22.0,8.0
10.650654918188252,572.250800000009,-0.19441363538231257,0.30430442623395004,0,20.0,9.0
10.773725636205034,571.83319999999,2.7864889963618436,0.30782073246300096,0,17.0,9.0
10.826898387439975,574.421212800013,-3.7904343077281224,0.3093399539268564,8,9.0,9.0
10.899877632475608,569.586174400016,-0.3568418563183335,0.3114250752135888,3,355.0,11.0
10.993994632314703,569.0,1.3003823872809817,0.31411413235184865,0,29.0,7.0
11.118730036208177,571.83147519998,1.4779924228372416,0.3176780010345193,0,29.0,7.0
11.245739733925705,575.108523200008,-0.029906991279415103,0.3213068495407344,0,29.0,7.0
11.443686183785145,575.00519999998,-0.4428667562155581,0.3269624623938613,0,29.0,7.0
11.673916918378511,573.225600000007,0.0987650885426637,0.3335404833822432,0,29.0,7.0
11.767432457555664,573.386799999963,0.4451365879662029,0.3362123559301618,0,29.0,7.0
11.939340823534131,574.722400000011,-0.07365925634108711,0.3411240235295466,0,29.0,7.0
12.854971900485062,573.54526719999,34.79186259508417,0.3672849114424303,0,29.0,7.0
12.87921370961434,590.388657919993,-0.040276412673668785,0.3679775345604097,0,29.0,7.0
13.244620752557264,590.131792800002,1.1557871756910363,0.3784177357873504,0,29.0,7.0
